Region,Bathing water sampling data coastal 2014,National Grid reference,No. of samples e coli,Median,,Min,,Max,No. failing to conform,,No.of samples Intestinal enterocci (G only),Median,,,,,
,Towan,SW8100062150,20,10,<,10,,173,0,,20,10,<,,,,
,Great Western,SW8153061870,20,10,<,10,,310,0,,20,10,<,,,,
,Tolcarne,SW8176062050,20,10,<,10,,340,0,,20,10,<,,,,
,Lusty Glaze,SW8238062480,20,10,<,10,,82,0,,20,10,<,,,,
,Porth,SW8296062780,20,36,<,10,,500,0,,20,23,<,,,,
,Watergate Bay,SW8407064860,20,10,<,10,,73,0,,20,10,<,,,,
,Mawgan Porth,SW8483067470,20,10,<,10,,600,0,,20,10,<,,,,
,Porthcothan,SW8572072060,20,10,<,10,,118,0,,20,10,<,,,,
,Treyarnon Bay,SW8586073960,20,10,<,10,,73,0,,20,10,<,,,,
,Constantine Bay,SW8589074750,20,10,<,10,,55,0,,20,10,<,,,,
,Mother Ivey`s Bay,SW8645075940,20,10,<,10,,18,0,,20,10,<,,,,
,Harlyn Bay,SW8772075460,20,10,<,10,,240,0,,20,10,<,,,,
,Trevone Bay,SW8915076010,20,10,<,10,,1200,0,,20,10,<,,,,
,Rock,SW9277075790,20,18,<,10,,250,0,,20,10,<,,,,
,Daymer Bay,SW9283077600,20,10,<,10,,100,0,,20,10,<,,,,
,Polzeath,SW9360079070,20,10,<,10,,109,0,,20,10,<,,,,
,Trebarwith Strand,SX0485086450,20,10,<,10,,64,0,,20,10,<,,,,
,Crackington Haven,SX1427096900,20,10,<,10,,127,0,,20,10,<,,,,
,Widemouth Sand,SS1984002400,20,10,<,10,,18,0,,20,10,<,,,,
,Bude Summerleaze,SS2038006620,20,14,<,10,,164,0,,20,10,<,,,,
,Bude Crooklets,SS2026007140,20,10,<,10,,100,0,,20,10,<,,,,
,Bude Sandy Mouth,SS2016009940,20,10,<,10,,18,0,,20,10,<,,,,
,Hartland Quay,SS2230024850,20,10,<,10,,18,0,,20,10,<,,,,
,Westward Ho!,SS4333829537,20,10,<,10,,45,0,,20,10,<,,,,
,Instow,SS4717030440,20,14,<,10,,2800,1,,20,10,<,,,,
,Saunton Sands,SS4455037600,20,10,<,10,,1009,0,,20,10,<,,,,
,Croyde Bay,SS4347039300,20,10,<,10,,773,0,,20,10,<,,,,
,Putsborough,SS4475040850,20,10,<,10,,27,0,,20,10,<,,,,
,Woolacombe Village,SS4562043700,20,10,<,10,,630,0,,20,10,<,,,,
,"Combesgate Beach, Woolacombe",SS4545044440,20,10,<,10,,630,0,,20,10,<,,,,
,Ilfracombe Tunnels Beach,SS5150847845,20,18,<,10,,2100,1,,20,18,<,,,,
,Ilfracombe Wildersmouth,SS5190947841,20,164,<,10,,800,0,,20,173,<,,,,
,Ilfracombe Hele,SS5360247830,20,18,<,10,,2200,1,,20,27,<,,,,
,Combe Martin,SS5772047320,20,32,<,10,,370,0,,20,27,<,,,,
,Lynmouth,SS7271349638,20,10,<,10,,173,0,,20,10,<,,,,
,Porlock Weir,SS8652147903,20,10,<,10,,10,0,,20,10,<,,,,
,Minehead Terminus,SS9761446397,20,18,<,10,,480,0,,20,10,<,,,,
,Dunster North West,SS9970745647,20,32,<,10,,1300,0,,20,27,<,,,,
,Blue Anchor West,ST0216143509,20,18,<,10,,300,0,,20,23,<,,,,
,Burnham Jetty North,ST3032148972,20,87,<,10,,440,0,,20,41,<,,,,
,Berrow North of Unity Farm,ST2911454114,20,45,<,10,,136,0,,20,23,<,,,,
,Brean,ST2960058500,20,14,<,10,,800,0,,20,18,<,,,,
,Weston-super-Mare Uphill Slipway,ST3109258867,20,73,<,10,,260,0,,20,55,<,,,,
,Weston Main,ST3160060700,20,41,<,10,,127,0,,20,18,<,,,,
,Weston-super-Mare Sand Bay,ST3283863267,20,18,<,10,,500,0,,20,10,<,,,,
,Clevedon Beach,ST3991471322,20,55,<,10,>,10000,1,,20,18,<,,,,
WALES,Jackson's Bay Barry Island,ST1220066570,19,18,<,10,,410,0,,19,18,<,,,,
,Whitmore Bay Barry Island,ST1145066250,19,10,<,10,,210,0,,19,10,<,,,,
,Cold Knap Barry,ST0985466455,19,10,<,10,,136,0,,19,10,<,,,,
,Southerndown,SS8846573155,20,10,<,10,,200,0,,20,10,<,,,,
,Trecco Bay Porthcawl,SS8309176675,20,10,<,10,,200,0,,20,10,<,,,,
,Sandy Bay Porthcawl,SS8244876839,20,10,<,10,,300,0,,20,10,<,,,,
,Rest Bay Porthcawl,SS8039478054,20,10,<,10,,82,0,,20,10,<,,,,
,Aberafan,SS7418789841,20,32,<,10,,350,0,,20,18,<,,,,
,Swansea Bay,SS6433692137,20,14,<,10,,230,0,,20,10,<,,,,
,Bracelet Bay,SS6296487262,20,10,<,10,,18,0,,20,10,<,,,,
,Limeslade Bay,SS6254687124,20,10,<,10,,2600,1,,20,10,<,,,,
,Langland Bay,SS6073287391,20,10,<,10,,18,0,,20,10,<,,,,
,Caswell Bay,SS5920387608,20,10,<,10,,27,0,,20,10,<,,,,
,Oxwich Bay,SS5031986448,20,10,<,10,,2000,0,,20,10,<,,,,
,Port Eynon Bay,SS4694785099,20,10,<,10,,200,0,,20,10,<,,,,
,Rhossili,SS4112590857,20,10,<,10,,82,0,,20,10,<,,,,
,Pembrey,SS4007899784,20,10,<,10,,145,0,,20,10,<,,,,
,Pendine,SN2381807854,20,10,<,10,,410,0,,20,10,<,,,,
,Amroth Central,SN1682107137,20,10,<,10,,182,0,,20,10,<,,,,
,Wiseman's Bridge,SN1465506133,20,10,<,10,,200,0,,20,10,<,,,,
,Coppet Hall,SN1403505352,20,10,<,10,,55,0,,20,10,<,,,,
,Saundersfoot,SN1372804848,20,10,<,10,,36,0,,20,10,<,,,,
,Tenby North,SN1330400845,20,10,<,10,,127,0,,20,10,<,,,,
,"Castle Beach, Tenby",SN1372800431,20,10,<,10,,100,0,,20,10,<,,,,
,Tenby South,SN1315000022,20,10,<,10,,700,0,,20,10,<,,,,
,Penally,SS1230198934,20,10,<,10,,73,0,,20,10,<,,,,
,Lydstep,SS0919298393,20,10,<,10,,27,0,,20,10,<,,,,
,Manorbier,SS0609797507,20,10,<,10,,91,0,,20,10,<,,,,
,Freshwater East,SS0185297878,20,10,<,10,,27,0,,20,10,<,,,,
,Barafundle,SR9905795048,20,10,<,10,,36,0,,20,10,<,,,,
,Broad Haven (South),SR9773993967,20,10,<,10,,18,0,,20,10,<,,,,
,Freshwater West,SR8848399739,20,10,<,10,,118,0,,20,10,<,,,,
,West Angle,SM8534903183,20,18,<,10,,290,0,,20,14,<,,,,
,Sandy Haven,SM8593307248,20,10,<,10,>,10000,1,,20,10,<,,,,
,Dale,SM8118505860,20,14,<,10,,127,0,,20,18,<,,,,
,Marloes Sands,SM7836607479,20,10,<,10,,18,0,,20,10,<,,,,
,Little Haven,SM8567612936,20,14,<,10,,1300,0,,20,10,<,,,,
,Broad Haven (Central),SM8608513801,20,10,<,10,>,10000,1,,20,10,<,,,,
,Druidston Haven,SM8613817238,20,10,<,10,,55,0,,20,10,<,,,,
,Nolton Haven,SM8589018569,20,10,<,10,,5800,1,,20,10,<,,,,
,Newgale,SM8498921689,20,10,<,10,,27,0,,20,10,<,,,,
,Caerfai,SM7612524371,16,10,<,10,,55,0,,16,10,<,,,,
,Whitesands,SM7334027087,20,10,<,10,,73,0,,20,10,<,,,,
,Abereiddy,SM7972131264,20,10,<,10,,27,0,,20,10,<,,,,
,Abermawr,SM8827434642,20,10,<,10,,18,0,,20,10,<,,,,
,Newport North,SN0537140473,20,10,<,10,,91,0,,20,10,<,,,,
,Poppit West,SN1520648712,20,10,<,10,,164,0,,20,10,<,,,,
,Mwnt,SN1936951909,20,10,<,10,,360,0,,20,10,<,,,,
,Aberporth,SN2576351582,20,10,<,10,,3400,1,,20,10,<,,,,
,Tresaith,SN2777951558,20,10,<,10,,270,0,,20,10,<,,,,
,Penbryn,SN2927652472,20,10,<,10,,740,0,,20,10,<,,,,
,Llangrannog,SN3104454193,20,10,<,10,,173,0,,20,18,<,,,,
,Cilborth,SN3113654411,20,10,<,10,,82,0,,20,10,<,,,,
,New Quay North,SN3895260148,20,10,<,10,,2000,0,,20,14,<,,,,
,New Quay Harbour,SN3903159952,20,10,<,10,,260,0,,20,10,<,,,,
,Traeth Gwyn New Quay,SN3972859488,20,10,<,10,,400,0,,20,10,<,,,,
,Llanrhystud,SN5241769067,20,10,<,10,,145,0,,20,10,<,,,,
,Aberystwyth South,SN5794281314,20,18,<,10,,1064,0,,20,10,<,,,,
,Aberystwyth North,SN5823881898,20,23,<,10,,155,0,,20,14,<,,,,
,Clarach South,SN5870483751,20,10,<,10,,300,0,,20,10,<,,,,
,Borth,SN6062089011,20,10,<,10,,136,0,,20,10,<,,,,
,Aberdyfi,SN6071995765,20,10,<,10,,520,0,,20,10,<,,,,
,Tywyn,SH5767000320,20,10,<,10,,245,0,,20,10,<,,,,
,Fairbourne,SH6091013070,20,10,<,10,,240,0,,20,10,<,,,,
,Barmouth,SH6084015900,20,10,<,10,,45,0,,20,10,<,,,,
,Tal-y-Bont,SH5775021100,20,10,<,10,,64,0,,20,10,<,,,,
,Dyffryn (Llanendwyn),SH5671022580,20,10,<,10,,27,0,,20,10,<,,,,
,Llandanwg,SH5669028180,20,10,<,10,,127,0,,20,10,<,,,,
,Harlech,SH5676031480,20,10,<,10,,250,0,,20,10,<,,,,
,Craig Du Beach Central,SH5362036410,20,10,<,10,,240,0,,20,10,<,,,,
,Criccieth,SH5033338075,20,10,<,10,,220,0,,20,10,<,,,,
,Pwllheli,SH3710034070,20,10,<,10,,27,0,,20,10,<,,,,
,Abersoch,SH3168027720,20,10,<,10,,155,0,,20,10,<,,,,
,Porth Neigwl,SH2808026310,20,10,<,10,,36,0,,20,10,<,,,,
,Aberdaron,SH1733026260,20,10,<,10,,36,0,,20,10,<,,,,
,Morfa Nefyn,SH2823040910,20,10,<,10,,2100,1,,20,10,<,,,,
,Morfa Dinlle,SH4349056690,20,10,<,10,,64,0,,20,10,<,,,,
,Llanddwyn,SH4034063050,20,10,<,10,,118,0,,20,10,<,,,,
,Aberffraw,SH3524067640,20,10,<,10,,1200,0,,20,10,<,,,,
,Rhosneigr,SH3237072120,20,10,<,10,,27,0,,20,10,<,,,,
,Silver Bay Rhoscolyn,SH2925075160,20,10,<,10,,2800,1,,20,10,<,,,,
,Borth Wen,SH2732075000,20,10,<,10,,2200,1,,20,10,<,,,,
,Trearddur Bay,SH2556078910,20,10,<,10,,91,0,,20,10,<,,,,
,Porth Dafarch,SH2330079900,20,10,<,10,,780,0,,20,10,<,,,,
,Church Bay,SH2997089400,20,10,<,10,,36,0,,20,10,<,,,,
,Cemaes,SH3732093620,20,69,<,10,,1300,0,,20,18,<,,,,
,Traeth Lligwy,SH4990087520,20,10,<,10,,173,0,,20,10,<,,,,
,Benllech,SH5268082560,20,10,<,10,,164,0,,20,10,<,,,,
,St Davids - Benllech,SH5307082040,20,10,<,10,,82,0,,20,10,<,,,,
,Llanddona,SH5660081210,20,18,<,10,,127,0,,20,10,<,,,,
,Llanfairfechan,SH6802075810,20,10,<,10,,230,0,,20,10,<,,,,
,Penmaenmawr,SH7180076930,20,14,<,10,,230,0,,20,10,<,,,,
,Llandudno West Shore,SH7655081650,20,10,<,10,,82,0,,20,10,<,,,,
,Llandudno North Shore,SH7832082490,20,45,<,10,,1064,0,,20,27,<,,,,
,Colwyn Bay,SH8463480141,20,10,<,10,,400,0,,20,10,<,,,,
,Abergele (Pensarn),SH9445079000,20,18,<,10,,530,0,,20,18,<,,,,
,Kinmel Bay (Sandy Cove),SH9780080600,20,27,<,10,,500,0,,20,10,<,,,,
,"Marine Lake, Rhyl",SJ0010080600,20,10,<,10,,91,0,,20,10,<,,,,
,Rhyl,SJ0020082600,20,36,<,10,,360,0,,20,27,<,,,,
,Rhyl East,SJ0099082051,20,36,<,10,,1236,0,,20,14,<,,,,
,Prestatyn,SJ0585084200,20,14,<,10,,200,0,,20,10,<,,,,
NORTH WEST,West Kirby,SJ2071086621,20,10,<,10,,210,0,,20,10,<,,,,
,Meols,SJ2300090600,20,23,<,10,,370,0,,20,18,<,,,,
,Moreton,SJ2570091800,20,27,<,10,,109,0,,20,10,<,,,,
,Wallasey,SJ2852693518,20,36,<,10,,136,0,,20,18,<,,,,
,Formby,SD2680006300,20,27,<,10,,240,0,,20,10,<,,,,
,Ainsdale,SD2970012900,20,18,<,10,,350,0,,20,10,<,,,,
,Southport,SD3220017900,20,50,<,10,,490,0,,20,14,<,,,,
,St Annes,SD3149128585,20,23,<,10,,1000,0,,20,10,<,,,,
,St Annes North,SD3081629775,20,55,<,10,,700,0,,20,23,<,,,,
,Blackpool South,SD3032633222,19,18,<,10,,740,0,,19,10,<,,,,
,Blackpool Central,SD3053634556,19,36,<,10,,1209,0,,19,18,<,,,,
,Blackpool North,SD3053436055,19,91,<,10,,710,0,,19,36,<,,,,
,Bispham,SD3070039700,19,27,<,10,,270,0,,19,10,<,,,,
,Cleveleys,SD3120043300,19,27,<,10,,550,0,,19,10,<,,,,
,Fleetwood,SD3312048310,20,32,<,10,,760,0,,20,32,<,,,,
,Morecambe South,SD4274664454,20,32,<,10,,800,0,,20,10,<,,,,
,Morecambe North,SD4378164956,20,23,<,10,,1018,0,,20,18,<,,,,
,Walney Biggar Bank,SD1780067300,20,18,<,10,,4200,1,,20,10,<,,,,
,Walney Sandy Gap,SD1750068100,20,10,<,10,>,10000,1,,20,10,<,,,,
,Walney West Shore,SD1698470183,20,10,<,10,,6200,1,,20,10,<,,,,
,Haverigg,SD1600077800,20,60,<,10,,2900,1,,20,10,<,,,,
,Silecroft,SD1200081200,20,10,<,10,,91,0,,20,10,<,,,,
,Seascale,NY0340001000,20,18,<,10,,420,0,,20,10,<,,,,
,St Bees,NX9590011700,20,18,<,10,,64,0,,20,10,<,,,,
,Allonby South,NY0633939751,20,114,<,10,,955,0,,20,23,<,,,,
,Allonby,NY0780042400,20,23,<,10,,3200,1,,20,14,<,,,,
,Silloth,NY0965653195,20,32,<,10,>,10000,1,,20,10,<,,,,
SCOTLAND,Southerness,NX9768654006,20,15,<,10,,80,0,,20,10,<,,,,
,Sandyhills,NX8920055100,20,50,<,10,,930,0,,20,45,<,,,,
,Rockcliffe,NX8477753682,19,120,,10,,940,0,,19,20,<,,,,
,Dhoon Bay,NX6574848600,20,60,<,10,,1800,0,,20,15,<,,,,
,Brighouse Bay,NX6351645472,20,15,<,10,,520,0,,20,10,<,,,,
,Carrick,NX5749549981,20,10,<,10,,500,0,,20,10,<,,,,
,Mossyard,NX5525051870,20,60,<,10,,1800,0,,20,10,<,,,,
,Girvan,NX1815497413,20,85,<,10,,3700,1,,20,15,<,,,,
,Maidens,NS2170008501,20,35,<,10,,340,0,,20,10,<,,,,
,Culzean,NS2204109681,20,10,<,10,,740,0,,20,10,<,,,,
,Heads of Ayr,NS3020218902,20,50,<,10,,9600,3,,20,20,<,,,,
,Ayr (South Beach),NS3296421888,18,60,<,10,,640,0,,18,10,<,,,,
,Prestwick,NS3446626192,19,20,<,10,,700,0,,19,20,<,,,,
,Troon (South Beach),NS3207030620,20,20,<,10,,240,0,,20,10,<,,,,
,Irvine,NS3070037499,17,60,<,10,,390,0,,17,30,<,,,,
,Saltcoats/Ardrossan,NS2345341997,20,55,<,10,,280,0,,20,20,<,,,,
,Seamill,NS1980247319,20,20,<,10,,150,0,,20,10,<,,,,
,Largs (Pencil Beach),NS2080457601,20,10,<,10,,250,0,,20,10,<,,,,
,Millport Bay,NS1659854917,20,10,<,10,,1100,0,,20,10,<,,,,
,Lunderston Bay,NS2040074514,20,10,<,10,,800,0,,20,10,<,,,,
,Ettrick Bay,NS0372466058,19,10,<,10,,710,0,,19,10,<,,,,
,Machrihanish,NR6410020900,10,10,<,10,,140,0,,10,10,<,,,,
,Ganavan,NM8620032813,10,15,<,10,,200,0,,10,15,<,,,,
,Achmelvich,NC0556024940,5,10,<,10,,10,0,,5,10,<,,,,
,Thurso,ND1169768860,20,10,<,10,,190,0,,20,10,<,,,,
,Dunnet,ND2160170749,20,10,<,10,,400,0,,20,10,<,,,,
,Dornoch,NH8050089400,5,10,<,10,,20,0,,5,10,<,,,,
,Rosemarkie,NH7390057900,20,10,<,10,,290,0,,20,10,<,,,,
,Nairn (Central),NH8822757117,20,10,<,10,,700,0,,20,10,<,,,,
,Nairn (East),NH8910657461,19,10,<,10,,1200,0,,19,30,<,,,,
,Findhorn,NJ0356064940,20,10,<,10,,1000,0,,20,10,<,,,,
,Lossiemouth (East),NJ2405070500,19,10,<,10,,320,0,,19,10,<,,,,
,Cullen Bay,NJ5032067499,20,10,<,10,,250,0,,20,10,<,,,,
,Inverboyndie,NJ6718764743,20,15,<,10,,480,0,,20,15,<,,,,
,Rosehearty,NJ9339167651,20,10,<,10,,180,0,,20,10,<,,,,
,Fraserburgh (Tiger Hill),NK0051065640,20,10,<,10,,440,0,,20,10,<,,,,
,Fraserburgh (Philorth),NK0212065050,20,10,<,10,,230,0,,20,10,<,,,,
,Peterhead (Lido),NK1248945175,20,10,<,10,,60,0,,20,10,<,,,,
,Cruden Bay,NK0899635687,19,40,<,10,,350,0,,19,70,<,,,,
,Collieston,NK0408028531,20,75,<,10,,370,0,,20,20,<,,,,
,Balmedie,NJ9805018330,20,10,<,10,,190,0,,20,10,<,,,,
,Aberdeen,NJ9540107182,19,40,<,10,,380,0,,19,20,<,,,,
,Stonehaven,NO8765085820,19,20,<,10,,240,0,,19,10,<,,,,
,Montrose,NO7285357869,20,10,<,10,,70,0,,20,10,<,,,,
,Lunan Bay,NO6930051600,10,10,<,10,,4400,1,,10,10,<,,,,
,Arbroath (West Links),NO6351039980,20,10,<,10,>,10000,1,,20,10,<,,,,
,Carnoustie,NO5665534227,20,10,<,10,,4400,1,,20,10,<,,,,
,Monifieth,NO5000032000,20,15,<,10,,1200,0,,20,20,<,,,,
,Broughty Ferry,NO4690030600,20,10,<,10,,1600,0,,20,10,<,,,,
,St. Andrews (West Sands),NO5047417681,20,10,<,10,,400,0,,20,10,<,,,,
,St. Andrews (East Sands),NO5200016299,20,20,<,10,,170,0,,20,10,<,,,,
,Kingsbarns,NO6041412362,20,10,<,10,,580,0,,20,10,<,,,,
,Crail (Roome Bay),NO6192607822,20,10,<,10,,10,0,,20,10,<,,,,
,Anstruther (Billow Ness),NO5640003100,20,10,<,10,,370,0,,20,10,<,,,,
,Elie (Ruby Bay),NT4950099500,20,10,<,10,,20,0,,20,10,<,,,,
,Elie (Harbour) and Earlsferry,NT4890099800,20,10,<,10,,160,0,,20,10,<,,,,
,Leven,NO3960001400,20,15,<,10,,340,0,,20,30,<,,,,
,Kirkcaldy (Seafield),NT2810589694,20,30,<,10,,220,0,,20,25,<,,,,
,Kinghorn (Harbour Beach),NT2712586697,20,60,<,10,,790,0,,20,35,<,,,,
,Kinghorn (Pettycur),NT2643586176,20,20,<,10,,1900,0,,20,10,<,,,,
,Burntisland,NT2410685699,20,10,<,10,,200,0,,20,10,<,,,,
,Aberdour (Silver Sands),NT2010085219,20,10,<,10,,310,0,,20,10,<,,,,
,Aberdour Harbour (Black Sands),NT1940085000,20,20,<,10,,200,0,,20,15,<,,,,
,Portobello (West),NT3031474632,19,100,<,10,,1320,0,,19,80,<,,,,
,Portobello (Central),NT3129673847,19,40,<,10,,630,0,,19,40,<,,,,
,Fisherrow Sands,NT3320073095,20,55,<,10,,7400,1,,20,35,<,,,,
,Seton Sands,NT4273876251,20,20,<,10,,1200,0,,20,15,<,,,,
,Longniddry,NT4361977170,20,40,<,10,,280,0,,20,25,<,,,,
,Gullane,NT4749183319,6,15,<,10,,240,0,,6,10,<,,,,
,Broad Sands,NT5244085870,20,10,<,10,,160,0,,20,10,<,,,,
,Yellowcraig,NT5151286091,20,40,<,10,,290,0,,20,40,<,,,,
,North Berwick (West),NT5516485462,20,20,<,10,,840,0,,20,10,<,,,,
,North Berwick (Milsey Bay),NT5621185327,20,25,<,10,,340,0,,20,15,<,,,,
,Seacliff,NT6050084600,5,10,<,10,,530,0,,5,10,<,,,,
,Dunbar (Belhaven),NT6549179125,20,40,<,10,,2000,0,,20,15,<,,,,
,Dunbar (East),NT6830478820,20,30,<,10,,2400,1,,20,15,<,,,,
,Whitesands,NT7118677436,20,25,<,10,,450,0,,20,30,<,,,,
,Thorntonloch,NT7538474410,20,10,<,10,,480,0,,20,10,<,,,,
,Pease Bay,NT7926471083,20,10,<,10,,2500,1,,20,10,<,,,,
,Coldingham,NT9176966557,20,10,<,10,,430,0,,20,10,<,,,,
,Eyemouth,NT9446364524,20,50,<,10,,4300,1,,20,30,<,,,,
NORTHERN IRELAND,Magilligan (Benone),IC71813625,20,10,<,10,,170,0,,20,10,<,,,,
,Magilligan (Downhill),IC75033627,20,21,<,10,,280,0,,20,14,<,,,,
,Castlerock,IC77553638,20,18,<,10,,260,0,,20,12,<,,,,
,Portstewart,IC80873677,20,10,<,10,,200,0,,20,10,<,,,,
,Portrush (Mill Strand),IC85604063,20,10,<,10,,83,0,,20,10,<,,,,
,Portrush (Curran Strand),IC86154059,20,25,<,10,,3800,1,,20,15,<,,,,
,Portrush (Whiterocks),IC88324085,20,10,<,10,,19,0,,20,10,<,,,,
,Portballintrae (Salmon Rock),IC92784242,20,10,<,10,,86,0,,20,10,<,,,,
,Ballycastle,ID13034126,20,25,<,10,,1700,0,,20,13,<,,,,
,Waterfoot,ID24192560,20,43,<,10,,3300,1,,20,18,<,,,,
,Carnlough,ID28931675,20,12,<,10,>,10000,2,,20,10,<,,,,
,Ballygally,ID37430781,20,42,<,10,,3000,1,,20,25,<,,,,
,Brown`s Bay,ID43540287,20,12,<,10,,440,0,,20,10,<,,,,
,Helen`s Bay,IJ46038294,20,10,<,10,,200,0,,20,10,<,,,,
,Crawfordsburn,IJ46678256,20,20,<,10,,500,0,,20,11,<,,,,
,Ballyholme,IJ51788226,20,43,<,10,,760,0,,20,36,<,,,,
,Groomsport,IJ54128342,20,16,<,10,,6400,1,,20,10,<,,,,
,Millisle,IJ59817618,20,22,<,10,,2400,1,,20,10,<,,,,
,Ballywalter,IJ62956874,20,25,<,10,,230,0,,20,11,<,,,,
,Tyrella,IJ46983601,20,10,<,10,,62,0,,20,10,<,,,,
,Murlough Co. Down,IJ40043344,20,10,<,10,,440,0,,20,10,<,,,,
,Newcastle,IJ38023150,20,10,<,10,,370,0,,20,10,<,,,,
,Cranfield (Cranfield Bay),IJ25991065,20,10,<,10,,42,0,,20,10,<,,,,
,Bathing water Sampling data (Inland):  2014,National Grid reference,No. of samples e coli,Median,,Min,,Max,No. failing to conform,,No.of samples Intestinal enterocci (G only),Median,,Min,,Max,No. failing to conform
MIDLANDS,Colwick Country Park (West Lake),SK6069839020,20,27,<,10,,460,0,,20,14,<,10,,1500,4
SOUTH EAST,Cotswold Country Park and Beach,SU0280095800,20,27,<,10,,1364,0,,20,18,<,10,,280,3
,Hampstead Heath (Ladies Pond),TQ2762086920,20,78,,18,,250,0,,20,32,<,10,,420,2
,Hampstead Heath (Mens Pond),TQ2787086550,20,27,<,10,,240,0,,20,18,<,10,,100,0
,Hampstead Heath (Mixed Pond),TQ2721086240,20,118,,18,,2300,1,,20,27,<,10,,1100,5
,The Serpentine - Hyde Park,TQ2717080030,20,141,,18,,680,0,,20,10,<,10,,400,3
,Frensham Great Pond,SU8458840478,20,68,<,10,,800,0,,20,18,<,10,,220,1
SOUTH WEST,Henleaze Lake,ST5804777472,20,117,,45,,660,0,,20,68,<,10,,780,7
WALES,Llyn Padarn,SH5739660866,20,10,<,10,,73,0,,20,10,<,10,,27,0
NORTH WEST,"Windermere, Lakeside YMCA",SD3750089900,20,10,<,10,,36,0,,20,10,<,10,,36,0
,"Windermere, Millerground Landing",SD4020298837,20,10,<,10,,55,0,,20,10,<,10,,36,0
,"Windermere, Fellfoot",SD3799086960,20,10,<,10,,182,0,,20,10,<,10,,164,1
SCOTLAND,Luss Bay,NS3601593296,20,40,<,10,,670,0,,20,25,<,10,,240,3
,Dores,NH5967135000,20,25,<,10,,3600,1,,20,10,<,10,,5000,1
,Loch Morlich,NH9716009750,10,25,<,10,,400,0,,10,30,<,10,,280,2
