Region,Bathing water sampling data coastal 2014,National Grid reference,No. of samples e coli,Median,,Min,,Max,No. failing to conform,,No.of samples Intestinal enterocci (G only),Median,,,,,
,Great Yarmouth South,TG5330006400,20,10,<,10,,410,0,,20,10,<,,,,
,Gorleston Beach,TG5305903089,20,10,<,10,,240,0,,20,10,<,,,,
,Lowestoft (North of Claremont Pier),TM5471892204,20,10,<,10,,218,0,,20,10,<,,,,
,Lowestoft (South of Claremont Pier),TM5450091700,20,10,<,10,,155,0,,20,10,<,,,,
,Southwold The Pier,TM5130076700,20,10,<,10,,55,0,,20,10,<,,,,
,Southwold The Denes,TM5080075400,20,18,<,10,,127,0,,20,10,<,,,,
,Felixstowe North,TM3059834411,20,10,<,10,,55,0,,20,10,<,,,,
,Felixstowe South,TM2970033700,20,10,<,10,,118,0,,20,10,<,,,,
,Dovercourt,TM2517030640,20,10,<,10,,64,0,,20,10,<,,,,
,Walton,TM2555021560,20,10,<,10,,320,0,,20,14,<,,,,
,Frinton,TM2379019410,20,10,<,10,,230,0,,20,10,<,,,,
,Holland,TM2245017650,20,10,<,10,,155,0,,20,10,<,,,,
,Clacton,TM1879015250,20,10,<,10,,200,0,,20,10,<,,,,
,Clacton (Groyne 41),TM1760014300,20,64,<,10,,1336,0,,20,60,<,,,,
,Jaywick,TM1485012800,20,10,<,10,,36,0,,20,10,<,,,,
,Clacton Beach Martello Tower,TM1670013700,20,18,<,10,,127,0,,20,18,<,,,,
,Brightlingsea,TM0764716182,20,18,<,10,,1218,0,,20,10,<,,,,
,West Mersea,TM0227012030,20,10,<,10,,1500,0,,20,10,<,,,,
SOUTH EAST,Shoebury East,TQ9457085150,20,14,<,10,,520,0,,20,10,<,,,,
,Shoeburyness,TQ9255084100,20,18,<,10,,340,0,,20,18,<,,,,
,Southend Thorpe Bay,TQ9110084700,20,14,<,10,,155,0,,20,18,<,,,,
,Southend Jubilee,TQ8900084500,20,23,<,10,,136,0,,20,14,<,,,,
,Southend Three Shells,TQ8820085050,20,32,<,10,,164,0,,20,10,<,,,,
,Southend Westcliff Bay,TQ8645085250,20,32,<,10,,270,0,,20,10,<,,,,
,Southend Chalkwell,TQ8547085440,20,27,<,10,,82,0,,20,10,<,,,,
,Leigh Bell Wharf,TQ8405085570,20,41,<,10,,400,0,,20,10,<,,,,
,Sheerness,TQ9191775199,20,10,<,10,,91,0,,20,10,<,,,,
,Minster Leas,TQ9509474170,20,23,<,10,,191,0,,20,14,<,,,,
,Leysdown,TR0333670841,20,10,<,10,,64,0,,20,10,<,,,,
,"West Beach, Whitstable",TR0980066000,20,23,<,10,,210,0,,20,10,<,,,,
,Tankerton,TR1212067333,20,10,<,10,,700,0,,20,10,<,,,,
,Herne Bay Central,TR1715068280,20,36,<,10,,220,0,,20,14,<,,,,
,Herne Bay,TR1860068600,20,27,<,10,,370,0,,20,10,<,,,,
,"Minnis Bay, Birchington",TR2860069700,20,18,<,10,,390,0,,20,10,<,,,,
,"West Bay, Westgate",TR3196870175,20,23,<,10,,410,0,,20,10,<,,,,
,"St Mildred's Bay, Westgate",TR3268770396,20,10,<,10,,220,0,,20,10,<,,,,
,"Westbrook Bay, Margate",TR3410070600,20,18,<,10,,2100,1,,20,18,<,,,,
,Margate The Bay,TR3497070814,20,27,<,10,,118,0,,20,10,<,,,,
,Margate Fulsam Rock,TR3569271402,20,14,<,10,,182,0,,20,10,<,,,,
,"Walpole Bay, Margate",TR3657071395,20,32,<,10,,2900,1,,20,23,<,,,,
,"Botany Bay, Broadstairs",TR3910071200,20,10,<,10,,330,0,,20,10,<,,,,
,"Joss Bay, Broadstairs",TR3990870099,20,10,<,10,,250,0,,20,10,<,,,,
,"Broadstairs, Stone Bay",TR3992368564,20,10,<,10,,670,0,,20,10,<,,,,
,"Broadstairs, Viking Bay",TR3980067700,20,36,<,10,,670,0,,20,14,<,,,,
,Ramsgate Sands,TR3867564806,20,18,<,10,,2600,1,,20,10,<,,,,
,Ramsgate Western Undercliffe,TR3740664120,20,10,<,10,,118,0,,20,10,<,,,,
,Sandwich Bay,TR3577859142,20,18,<,10,,1300,0,,20,10,<,,,,
,Deal Castle,TR3783752805,20,14,<,10,,91,0,,20,10,<,,,,
,St Margaret`s Bay,TR3687844490,20,10,<,10,,91,0,,20,10,<,,,,
,Folkestone,TR2361536249,20,10,<,10,,118,0,,20,10,<,,,,
,Sandgate,TR1880034800,20,10,<,10,,710,0,,20,10,<,,,,
,Hythe,TR1600034000,20,10,<,10,,127,0,,20,10,<,,,,
,Dymchurch,TR1024029300,20,36,<,10,,220,0,,20,10,<,,,,
,St Mary's Bay (Kent),TR0930027700,20,41,<,10,,310,0,,20,10,<,,,,
,Littlestone,TR0840023900,20,78,<,10,,1173,0,,20,27,<,,,,
,Camber,TQ9658618585,20,36,<,10,,510,0,,20,14,<,,,,
,Winchelsea,TQ9120015400,20,59,<,10,,450,0,,20,32,<,,,,
,Hastings,TQ8190009200,20,36,<,10,,280,0,,20,27,<,,,,
,St Leonards,TQ7970008700,20,14,<,10,,127,0,,20,10,<,,,,
,Bexhill,TQ7404207018,20,36,<,10,,730,0,,20,18,<,,,,
,Norman`s Bay,TQ6820005300,20,10,<,10,,155,0,,20,10,<,,,,
,Pevensey Bay,TQ6568703791,20,10,<,10,,164,0,,20,10,<,,,,
,Eastbourne,TV6140098200,20,10,<,10,,164,0,,20,10,<,,,,
,Birling Gap,TV5536795973,20,18,<,10,,155,0,,20,10,<,,,,
,Seaford,TV4782098950,20,10,<,10,,290,0,,20,10,<,,,,
,Newhaven,TV4483099992,0,0,,0,,0,0,,0,0,,,,,
,Saltdean,TQ3810001800,20,10,<,10,,330,0,,20,10,<,,,,
,Brighton Kemptown,TQ3238403503,20,10,<,10,,210,0,,20,14,<,,,,
,Brighton Central,TQ3070103940,20,10,<,10,,240,0,,20,10,<,,,,
,Hove,TQ2922504232,20,10,<,10,,18,0,,20,10,<,,,,
,Southwick,TQ2435804728,20,10,<,10,,18,0,,20,10,<,,,,
,Shoreham Beach,TQ2435804728,20,10,<,10,,109,0,,20,10,<,,,,
,"Lancing, Beach Green",TQ1830003600,20,10,<,10,,36,0,,20,10,<,,,,
,Worthing,TQ1390002100,20,14,<,10,,55,0,,20,10,<,,,,
,Littlehampton,TQ0306001320,20,32,<,10,,470,0,,20,10,<,,,,
,Middleton-on-sea,SZ9850099900,20,10,<,10,,82,0,,20,10,<,,,,
,Felpham,SZ9508099390,20,10,<,10,,955,0,,20,10,<,,,,
,Bognor Regis East,SZ9390098930,20,10,<,10,,209,0,,20,10,<,,,,
,Bognor Regis (Aldwick),SZ9236098557,20,10,<,10,,900,0,,20,10,<,,,,
,Pagham,SZ8920097200,20,10,<,10,,127,0,,20,10,<,,,,
,Selsey,SZ8687293686,20,10,<,10,,430,0,,20,10,<,,,,
,Bracklesham Bay,SZ8046296331,20,10,<,10,,55,0,,20,10,<,,,,
,West Wittering,SZ7680098000,20,10,<,10,,73,0,,20,10,<,,,,
,Eastoke,SZ7290098400,19,10,<,10,,10,0,,19,10,<,,,,
,Beachlands Central,SZ7135098710,20,10,<,10,,155,0,,20,10,<,,,,
,Beachlands West,SZ7050098700,20,10,<,10,,45,0,,20,10,<,,,,
,Eastney,SZ6741098774,20,10,<,10,,45,0,,20,10,<,,,,
,Southsea East,SZ6500098080,20,10,<,10,,510,0,,20,10,<,,,,
,Stokes Bay,SZ6000097900,20,10,<,10,,73,0,,20,10,<,,,,
,Lee-on-Solent,SU5617200458,20,10,<,10,,173,0,,20,10,<,,,,
,Hillhead,SU5467001830,20,10,<,10,,260,0,,20,10,<,,,,
,Calshot,SU4813801306,20,10,<,10,,1000,0,,20,10,<,,,,
,Lepe,SZ4560098500,20,10,<,10,,100,0,,20,10,<,,,,
,Milford-on-sea,SZ2758291779,20,10,<,10,,450,0,,20,10,<,,,,
,Christchurch Bay,SZ2390092800,20,10,<,10,,250,0,,20,10,<,,,,
,Highcliffe,SZ2137493085,20,10,<,10,,164,0,,20,10,<,,,,
,Compton Bay,SZ3768184179,20,10,<,10,,82,0,,20,10,<,,,,
,Totland Bay,SZ3219586895,20,10,<,10,,10,0,,20,10,<,,,,
,Colwell Bay,SZ3269987859,20,10,<,10,,55,0,,20,10,<,,,,
,Gurnard,SZ4770095900,20,10,<,10,,210,0,,20,10,<,,,,
,Cowes,SZ4880096700,20,10,<,10,,136,0,,20,10,<,,,,
,Ryde,SZ6010092700,20,10,<,10,,640,0,,20,10,<,,,,
,Seagrove,SZ6315091123,20,18,<,10,,1500,0,,20,10,<,,,,
,St Helens,SZ6375589160,20,10,<,10,,164,0,,20,10,<,,,,
,Bembridge,SZ6581787808,20,10,<,10,,900,0,,20,10,<,,,,
,Whitecliff Bay,SZ6410086200,20,10,<,10,,320,0,,20,10,<,,,,
,Yaverland,SZ6136085040,20,10,<,10,,420,0,,20,10,<,,,,
,Sandown,SZ6013984264,20,10,<,10,,855,0,,20,10,<,,,,
,Shanklin,SZ5858081137,20,10,<,10,,5500,1,,20,10,<,,,,
,Ventnor,SZ5601877341,20,10,<,10,,200,0,,20,10,<,,,,
SOUTH WEST,Christchurch Highcliffe Castle,SZ2024892931,20,10,<,10,,420,0,,20,10,<,,,,
,Christchurch Friar`s Cliff,SZ1919492528,20,14,<,10,,660,0,,20,10,<,,,,
,Christchurch Avon Beach,SZ1889592216,20,32,<,10,,1009,0,,20,10,<,,,,
,Christchurch Mudeford Sandbank East,SZ1830091100,20,10,<,10,,300,0,,20,10,<,,,,
,Bournemouth Hengistbury West,SZ1625790826,20,10,<,10,,1300,0,,20,10,<,,,,
,Bournemouth Southbourne,SZ1480091060,20,10,<,10,,220,0,,20,10,<,,,,
,Bournemouth Fisherman`s Walk,SZ1302491248,20,10,<,10,,109,0,,20,10,<,,,,
,Bournemouth Boscombe Pier,SZ1110791104,20,10,<,10,,290,0,,20,10,<,,,,
,Bournemouth Pier,SZ0886090657,20,18,<,10,,330,0,,20,18,<,,,,
,Bournemouth Durley Chine,SZ0795190387,20,18,<,10,,430,0,,20,10,<,,,,
,Bournemouth Alum Chine,SZ0748190171,20,10,<,10,,100,0,,20,10,<,,,,
,Poole Branksome Chine,SZ0645589589,20,10,<,10,,650,0,,20,10,<,,,,
,Poole Canford Cliffs Chine,SZ0571088983,20,10,<,10,,45,0,,20,10,<,,,,
,Poole Shore Road Beach,SZ0508588337,20,10,<,10,,36,0,,20,10,<,,,,
,Poole Sandbanks Peninsular,SZ0452087673,20,10,<,10,,18,0,,20,10,<,,,,
,Poole Harbour Lake,SY9831390468,20,14,<,10,,82,0,,20,10,<,,,,
,Poole Harbour Rockley Sands,SY9726391078,20,32,<,10,,210,0,,20,14,<,,,,
,Shell Bay North,SZ0371486533,20,10,<,10,,18,0,,20,10,<,,,,
,Studland Knoll House,SZ0343083602,20,10,<,10,,45,0,,20,10,<,,,,
,Swanage Central,SZ0310279303,20,10,<,10,,36,0,,20,10,<,,,,
,Kimmeridge Bay,SY9079879094,20,10,<,10,,27,0,,20,10,<,,,,
,Lulworth Cove,SY8245779943,20,14,<,10,,109,0,,20,10,<,,,,
,Durdle Door East,SY8070380291,20,10,<,10,,10,0,,20,10,<,,,,
,Durdle Door West,SY8049380285,20,10,<,10,,10,0,,20,10,<,,,,
,Ringstead Bay,SY7524681320,20,10,<,10,,73,0,,20,10,<,,,,
,Bowleaze Cove,SY7023681919,20,10,<,10,,55,0,,20,10,<,,,,
,Church Ope Cove,SY6976071000,20,10,<,10,,55,0,,20,10,<,,,,
,Weymouth Lodmoor,SY6882080780,20,10,<,10,,45,0,,20,10,<,,,,
,Weymouth Central,SY6810079514,20,10,<,10,,100,0,,20,10,<,,,,
,Portland Harbour Castle Cove,SY6756077500,20,10,<,10,,440,0,,20,10,<,,,,
,Portland Harbour Sandsfoot Castle,SY6728577271,20,10,<,10,,380,0,,20,10,<,,,,
,Hive,SY4901688762,20,10,<,10,,36,0,,20,10,<,,,,
,West Bay (West),SY4597490430,20,10,<,10,,610,0,,20,10,<,,,,
,Eypemouth,SY4468591013,20,10,<,10,,600,0,,20,10,<,,,,
,Seatown,SY4187391711,20,10,<,10,,2500,1,,20,10,<,,,,
,Charmouth West,SY3626093050,20,10,<,10,>,10000,1,,20,10,<,,,,
,Lyme Regis Church Cliff Beach,SY3443092126,20,32,<,10,,8400,4,,20,23,<,,,,
,Lyme Regis Front Beach,SY3390091850,20,14,<,10,>,10000,1,,20,10,<,,,,
,Seaton (Devon),SY2450089850,20,10,<,10,,91,0,,20,10,<,,,,
,Beer,SY2312189111,20,10,<,10,,155,0,,20,10,<,,,,
,Sidmouth Town,SY1261387178,20,10,<,10,,136,0,,20,10,<,,,,
,Sidmouth Jacobs Ladder,SY1192086921,20,10,<,10,,82,0,,20,10,<,,,,
,Ladram Bay,SY0965385106,20,27,<,10,,91,0,,20,10,<,,,,
,Budleigh Salterton,SY0686081900,20,18,<,10,,2600,1,,20,10,<,,,,
,Sandy Bay,SY0330079800,20,10,<,10,,750,0,,20,10,<,,,,
,Exmouth,SY0092079980,20,18,<,10,,845,0,,20,10,<,,,,
,Dawlish Warren,SX9826078760,20,10,<,10,,36,0,,20,10,<,,,,
,Dawlish Town,SX9655076800,20,10,<,10,,720,0,,20,10,<,,,,
,Dawlish Coryton Cove,SX9611076040,20,10,<,10,,109,0,,20,10,<,,,,
,Teignmouth Holcombe,SX9565074610,6,14,<,10,,200,0,,6,14,<,,,,
,Teignmouth Town,SX9428072800,20,10,<,10,,680,0,,20,18,<,,,,
,Shaldon,SX9363672196,20,14,<,10,,260,0,,20,10,<,,,,
,Ness Cove,SX9392571776,20,10,<,10,,991,0,,20,10,<,,,,
,Maidencombe,SX9278068500,20,10,<,10,,191,0,,20,10,<,,,,
,Watcombe,SX9262067300,20,10,<,10,,45,0,,20,10,<,,,,
,Oddicombe,SX9261965835,20,10,<,10,,420,0,,20,10,<,,,,
,Babbacombe,SX9300065450,20,10,<,10,,1700,0,,20,10,<,,,,
,Anstey's Cove (Torquay),SX9357464634,20,10,<,10,,64,0,,20,10,<,,,,
,Meadfoot,SX9301763058,20,10,<,10,,136,0,,20,10,<,,,,
,Beacon Cove,SX9195063070,20,10,<,10,,250,0,,20,10,<,,,,
,Torre Abbey,SX9107663641,20,10,<,10,,460,0,,20,18,<,,,,
,Hollicombe,SX8980062150,20,14,<,10,,800,0,,20,23,<,,,,
,Paignton Preston Sands,SX8960061670,20,14,<,10,,4200,1,,20,18,<,,,,
,Paignton Paignton Sands,SX8939060630,20,14,<,10,,490,0,,20,36,<,,,,
,Goodrington,SX8931759350,20,10,<,10,,164,0,,20,10,<,,,,
,Broadsands,SX8964257393,20,10,<,10,,2600,1,,20,19,<,,,,
,Breakwater Beach (Shoalstone),SX9317056660,20,10,<,10,,450,0,,20,10,<,,,,
,St Mary's Bay (Devon),SX9320055010,20,10,<,10,,64,0,,20,10,<,,,,
,Dartmouth Castle and Sugary Cove,SX8870050300,20,10,<,10,,27,0,,20,10,<,,,,
,Blackpool Sands,SX8550047850,20,10,<,10,,45,0,,20,10,<,,,,
,Slapton Sands Monument,SX8290044180,20,10,<,10,,18,0,,20,10,<,,,,
,Slapton Sands Torcross,SX8235042000,20,10,<,10,,45,0,,20,10,<,,,,
,Mill Bay,SX7407038160,20,10,<,10,,27,0,,20,10,<,,,,
,Salcombe North Sands,SX7310038200,20,10,<,10,,64,0,,20,10,<,,,,
,Salcombe South Sands,SX7285037750,20,10,<,10,,109,0,,20,10,<,,,,
